,South East,South West
1997,13122.119402985074,11333.333333333334
1998,13414.507462686568,11614.7
1999,13876.10447761194,11980.733333333334
2000,14735.985074626866,12531.933333333332
2001,15149.462686567163,12924.233333333334
2002,15599.850746268658,13143.433333333332
2003,15759.149253731342,13424.3
2004,16313.41791044776,13900.266666666666
2005,16977.223880597016,14528.0
2006,17780.31343283582,15303.533333333333
2007,18630.074626865673,15837.033333333333
2008,19021.44776119403,16370.066666666668
2009,19322.492537313432,16648.266666666666
2010,19440.10447761194,16885.133333333335
2011,19735.119402985074,17216.466666666667
2012,20502.716417910447,17676.533333333333
2013,21262.223880597016,18240.066666666666
2014,21809.955223880595,18803.033333333333
2015,22990.985074626864,19558.233333333334
2016,23266.059701492537,19679.533333333333
2017,23849.13432835821,20221.533333333333
2018,24843.074626865673,21260.3
